n,k,chr,d,b,p_odd,p_even,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,c,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8
1000,0,10,0.0,0.0,0,20,20,0,0,0,0,0,0,0,0,0,0,990,990,0,0,0,0,0,0,0
1000,1,10,1.0,2.0,0,20,20,0,0,0,0,0,0,0,0,0,0,989,988,1,0,0,0,0,0,0
1000,1,10,1.0,2.0,0,20,20,0,0,0,0,0,0,0,0,0,0,989,988,1,0,0,0,0,0,0
1000,6,10,6.0,12.0,0,20,20,0,0,0,0,0,0,0,0,0,0,984,978,6,0,0,0,0,0,0
1000,6,10,6.0,12.0,0,20,20,0,0,0,0,0,0,0,0,0,0,984,978,6,0,0,0,0,0,0
1000,11,10,11.0,22.0,0,20,20,0,0,0,0,0,0,0,0,0,0,979,968,11,0,0,0,0,0,0
1000,11,10,11.0,22.0,0,20,20,0,0,0,0,0,0,0,0,0,0,979,968,11,0,0,0,0,0,0
1000,16,10,16.0,32.0,0,20,20,0,0,0,0,0,0,0,0,0,0,974,958,16,0,0,0,0,0,0
1000,16,10,16.0,32.0,0,20,20,0,0,0,0,0,0,0,0,0,0,974,958,16,0,0,0,0,0,0
1000,21,10,21.0,42.0,0,20,20,0,0,0,0,0,0,0,0,0,0,969,948,21,0,0,0,0,0,0
1000,21,10,21.0,42.0,0,20,20,0,0,0,0,0,0,0,0,0,0,969,948,21,0,0,0,0,0,0
1000,26,10,26.0,52.0,0,20,20,0,0,0,0,0,0,0,0,0,0,964,938,26,0,0,0,0,0,0
1000,26,10,26.0,52.0,0,20,20,0,0,0,0,0,0,0,0,0,0,964,938,26,0,0,0,0,0,0
1000,31,10,31.0,62.0,0,20,20,0,0,0,0,0,0,0,0,0,0,959,928,31,0,0,0,0,0,0
1000,31,10,31.0,62.0,0,20,20,0,0,0,0,0,0,0,0,0,0,959,928,31,0,0,0,0,0,0
1000,36,10,36.0,70.0,0,20,20,0,0,0,0,0,0,0,0,0,0,954,920,32,2,0,0,0,0,0
1000,36,10,36.0,70.0,0,20,20,0,0,0,0,0,0,0,0,0,0,954,920,32,2,0,0,0,0,0
1000,41,10,41.0,80.0,0,20,20,0,0,0,0,0,0,0,0,0,0,949,910,37,2,0,0,0,0,0
1000,41,10,41.0,80.0,0,20,20,0,0,0,0,0,0,0,0,0,0,949,910,37,2,0,0,0,0,0
1000,46,10,46.0,88.0,0,20,20,0,0,0,0,0,0,0,0,0,0,944,902,38,4,0,0,0,0,0
1000,46,10,46.0,88.0,0,20,20,0,0,0,0,0,0,0,0,0,0,944,902,38,4,0,0,0,0,0
1000,51,10,51.0,95.5,0,20,19,0,1,0,0,0,0,0,0,0,0,939,895,38,6,0,0,0,0,0
1000,51,10,51.0,95.5,0,20,19,0,1,0,0,0,0,0,0,0,0,939,895,38,6,0,0,0,0,0
1000,56,10,56.0,104.5,0,20,19,0,1,0,0,0,0,0,0,0,0,934,886,41,7,0,0,0,0,0
1000,56,10,56.0,104.5,0,20,19,0,1,0,0,0,0,0,0,0,0,934,886,41,7,0,0,0,0,0
1000,61,10,61.0,113.0,0,20,18,0,2,0,0,0,0,0,0,0,0,929,878,44,6,1,0,0,0,0
1000,61,10,61.0,113.0,0,20,18,0,2,0,0,0,0,0,0,0,0,929,878,44,6,1,0,0,0,0
1000,66,10,66.0,119.0,0,20,18,0,2,0,0,0,0,0,0,0,0,924,872,42,8,2,0,0,0,0
1000,66,10,66.0,119.0,0,20,18,0,2,0,0,0,0,0,0,0,0,924,872,42,8,2,0,0,0,0
1000,71,10,71.0,127.0,0,20,18,0,2,0,0,0,0,0,0,0,0,919,864,45,7,2,1,0,0,0
1000,71,10,71.0,127.0,0,20,18,0,2,0,0,0,0,0,0,0,0,919,864,45,7,2,1,0,0,0
1000,76,10,76.0,134.0,1,20,18,0,2,0,0,0,0,1,0,0,0,914,857,47,8,1,1,0,0,0
1000,76,10,76.0,134.0,1,20,18,0,2,0,0,0,0,1,0,0,0,914,857,47,8,1,1,0,0,0
1000,81,10,81.0,141.0,1,20,18,0,2,0,0,0,0,1,0,0,0,909,850,47,9,2,1,0,0,0
1000,81,10,81.0,141.0,1,20,18,0,2,0,0,0,0,1,0,0,0,909,850,47,9,2,1,0,0,0
1000,86,10,86.0,148.0,1,20,18,0,2,0,0,0,0,1,0,0,0,904,843,46,12,2,1,0,0,0
1000,86,10,86.0,148.0,1,20,18,0,2,0,0,0,0,1,0,0,0,904,843,46,12,2,1,0,0,0
1000,91,10,91.0,152.0,1,20,18,0,2,0,0,0,0,1,0,0,0,899,839,45,11,1,1,1,1,0
1000,91,10,91.0,152.0,1,20,18,0,2,0,0,0,0,1,0,0,0,899,839,45,11,1,1,1,1,0
1000,96,10,96.0,159.0,1,20,18,0,2,0,0,0,0,1,0,0,0,894,832,44,14,1,1,1,1,0
1000,96,10,96.0,159.0,1,20,18,0,2,0,0,0,0,1,0,0,0,894,832,44,14,1,1,1,1,0
1000,101,10,101.0,167.5,1,20,17,0,3,0,0,0,0,1,0,0,0,889,824,47,13,2,1,1,1,0
1000,101,10,101.0,167.5,1,20,17,0,3,0,0,0,0,1,0,0,0,889,824,47,13,2,1,1,1,0
1000,106,10,106.0,174.5,1,20,17,0,3,0,0,0,0,1,0,0,0,884,817,48,12,4,1,1,1,0
1000,106,10,106.0,174.5,1,20,17,0,3,0,0,0,0,1,0,0,0,884,817,48,12,4,1,1,1,0
1000,111,10,111.0,179.5,1,20,17,0,3,0,0,0,0,1,0,0,0,879,812,46,12,5,2,1,1,0
1000,111,10,111.0,179.5,1,20,17,0,3,0,0,0,0,1,0,0,0,879,812,46,12,5,2,1,1,0
1000,116,10,116.0,188.0,1,20,16,0,4,0,0,0,0,1,0,0,0,874,804,49,12,4,3,1,1,0
1000,116,10,116.0,188.0,1,20,16,0,4,0,0,0,0,1,0,0,0,874,804,49,12,4,3,1,1,0
1000,121,10,121.0,192.5,1,20,15,0,4,0,0,0,0,0,0,0,1,869,800,47,14,4,2,1,1,0
1000,121,10,121.0,192.5,1,20,15,0,4,0,0,0,0,0,0,0,1,869,800,47,14,4,2,1,1,0
